Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
India,IND,Men,2011,21.4442744749097,21.1615667433693,21.7235129363933,0.0208158026272433,0.0146913942142667,0.0284089166117514,0.00187586517823768,0.0011290040053631,0.00293321248045612,0.245811819874072,0.206150598168475,0.287603271070389,0.162159637997948,0.132557666998307,0.195856019502744,0.43424493112213,0.391968494837672,0.478291125731281,0.136967808478607,0.110765568768548,0.166860896937575,0.0189399374490056,0.0129240771633828,0.0263684916226016,0.00136546860637266,0.000712581658610889,0.00234319586304364,0.000510396571865015,0.000227683957375718,0.000967898862994534
India,IND,Men,2012,21.5156515363871,21.192861599359,21.8370042519959,0.022203803274381,0.0153819076083289,0.0305953629456287,0.00209700342526756,0.00122806119999321,0.00333291423052167,0.241821039715393,0.199870700181323,0.28592840509648,0.159802325905145,0.128732889051797,0.194671276475722,0.435372127601539,0.390287048044885,0.481465291484687,0.140800703603542,0.112216915206237,0.173038595566571,0.0201067998491135,0.0134324957008823,0.028398253594109,0.00150991908151972,0.000761590507131526,0.00264248611423131,0.000587084343747839,0.000248409484810055,0.0011583913781368
India,IND,Men,2013,21.5897099415173,21.2235489624255,21.9559391506056,0.0236806049927292,0.0161386227178818,0.0330928224950691,0.00234628563628381,0.0013352309478627,0.00380105603814111,0.237801322234677,0.192867480206527,0.284276495910823,0.157427564816327,0.124456039467828,0.194228793343332,0.43640365929923,0.388770369990144,0.485751010262894,0.144686848757037,0.11370626216401,0.180229366740487,0.0213343193564454,0.0139981135371589,0.0306523313107101,0.00166985819667702,0.000813858561525668,0.00301741728356813,0.000676427439606788,0.00026412000213842,0.0013766528403277
India,IND,Men,2014,21.6641624704716,21.2402858789584,22.0871190488366,0.0252508276840683,0.0168606367123597,0.0359746675795194,0.00262662902263081,0.00144018865024799,0.00435961115970245,0.233773431611432,0.186030476990874,0.282764885792241,0.155040476211838,0.12008716501281,0.194663916702246,0.437325284040886,0.385918491657676,0.490209012728456,0.148609980551776,0.115174267696989,0.187349658907691,0.0226241986614375,0.0145245481225154,0.0331942618490388,0.00184622112801223,0.000864963979140718,0.00346470349877865,0.000780407894618572,0.000284932255945045,0.00166160732232246
India,IND,Men,2015,21.7391115303679,21.2508403714621,22.2256188521791,0.0269265368647386,0.0175474201625305,0.0389961209525093,0.0029423005414198,0.00153443501062695,0.00503034741770282,0.229724242554563,0.178985278543372,0.282365820397248,0.152660933629585,0.115548617246234,0.19515491791369,0.438098653886473,0.383227531363039,0.494784549572752,0.15258963316464,0.11604853641004,0.195647544861766,0.0239842363233188,0.0149354739967704,0.0357771004106424,0.00204126507327816,0.000910648721528343,0.00393594687926209,0.00090103546814164,0.00030534595412819,0.00200743566461134
India,IND,Men,2016,21.8145273132999,21.2502274651387,22.3790295308005,0.0287154583082912,0.0182852612420617,0.0421541103686558,0.00329822821833655,0.00166203719950778,0.00582039643847627,0.225643164702943,0.17219901688554,0.282078649866699,0.150268892389812,0.110956554856395,0.195487798424052,0.438741532823691,0.379059642399058,0.498637335565515,0.156630951875263,0.117818444562664,0.203643075165712,0.0254172300899547,0.0153268690920201,0.038511586302612,0.00225694290990757,0.000949293842813534,0.00448816173354815,0.00104128530842897,0.00032689934289182,0.0024670068777867
India,IND,Women,1975,18.5700587675666,17.6800859387388,19.4395173168443,0.00561395101482536,0.00215314892946512,0.0114560732792027,0.000362854264211076,9.48914977805304e-05,0.000965830167821185,0.372541334726269,0.286161891616955,0.461795702437602,0.206425181536779,0.135117740019051,0.282594313305475,0.355137930214355,0.271066087347,0.440988214257552,0.0602816026077709,0.0343233284461921,0.0926940207979275,0.00525109675061428,0.00182996585335813,0.0110954008999192,0.000348219457309021,8.18141773515338e-05,0.00094328048027566,1.46348069020551e-05,1.38231676943653e-06,5.65453254539341e-05
India,IND,Women,1976,18.6704429235681,17.8406218487517,19.4843689179379,0.0059740124432808,0.00242939336192591,0.0118442431385626,0.000396775307746239,0.000112911022335618,0.00100832709967579,0.369887775627816,0.287203912839142,0.456313431175819,0.204550530680935,0.136361940326918,0.277844872158701,0.357435004260918,0.27651708285227,0.439935311774334,0.0621526770870504,0.0365277757456235,0.0936740080457257,0.00557723713553456,0.0020642553393116,0.0114002269829166,0.00038033654283343,9.7627885311243e-05,0.000992162944490082,1.64387649128098e-05,1.76217219833657e-06,6.06355294387899e-05
India,IND,Women,1977,18.77141755621,17.994962932076,19.5380631468378,0.00636239221294561,0.0027323581941441,0.0122251605704054,0.000434503429491299,0.000133754487946261,0.00105740510735851,0.367150610747561,0.287613445663437,0.44967738378721,0.20265790250513,0.13688023881191,0.272661050942952,0.359731375319332,0.282311598481267,0.439220987189482,0.0640977193150322,0.0387367699377795,0.0950501033262955,0.00592788878345432,0.00233076560450751,0.0117347448920168,0.000415961930741054,0.0001160352793716,0.0010375324804564,1.85414987502446e-05,2.24591183583604e-06,6.50849312945296e-05
India,IND,Women,1978,18.8729294870473,18.1539839017768,19.5896189083251,0.00677950256234445,0.00305479694496939,0.0125989589416362,0.000476496075279881,0.000155926894810462,0.00112342662548801,0.364326198711489,0.288817785194298,0.443538260791015,0.200752351078789,0.138096854677832,0.266829606336335,0.362028044315856,0.287320830847697,0.437736581564014,0.0661139034315214,0.0408048712531689,0.096202110359239,0.00630300648706457,0.00260741040544161,0.0120784608359004,0.000455512134987157,0.000137345658810656,0.00109713491551732,2.09839402927241e-05,2.92829781604732e-06,7.00442735645603e-05
